Table 1
اسم المادة,السعر,الاسم التركي,الاسم اللاتيني,اسم المجموعة,اسم المجموعة اللاتيني,الصور
وافل اوريو,350.00,Oreo Waffle,Oreo Waffle,الوافل,Waffle,
وافل بستاشيو,390.00,Pistachio Waffle,Pistachio Waffle,الوافل,Waffle,
وافل شوكولا,280.00,Chocolate Waffle,Chocolate Waffle,الوافل,Waffle,
وافل فريز,340.00,ÇİLEK Waffle,Strawberry Waffle,الوافل,Waffle,
وافل فواكه,450.00,meyveli Waffle,Fruit Waffle,الوافل,Waffle,
وافل لوتوس,450.00,Lotus Waffle,Lotus Waffle,الوافل,Waffle,
وافل مارشميلو,300.00,Marshmallow Waffle,Marshmallow Waffle,الوافل,Waffle,
اوبرا,0.00,,,باتيسري,Patisserie,
تشمني كيك بندق,0.00,,,باتيسري,Patisserie,
تشمني كيك قرفة,0.00,Chimney Cake,Chimney Cake,باتيسري,Patisserie,
تشيز كيك بستاشيو,0.00,,,باتيسري,Patisserie,
تشيز كيك بلو بيري,0.00,,,باتيسري,Patisserie,
تشيز كيك شوكولا,0.00,,,باتيسري,Patisserie,
تشيز كيك فريز,0.00,,,باتيسري,Patisserie,
تيراميسو,0.00,Tiramisu,Tiramisu,باتيسري,Patisserie,
فوندون,0.00,,,باتيسري,Patisserie,
كروسان سادة,0.00,Croissants,Croissants,باتيسري,Patisserie,
كوكيز بستاشيو,0.00,,,باتيسري,Patisserie,
كوكيز بندوق,0.00,,,باتيسري,Patisserie,
كوكيز توت احمر,0.00,,,باتيسري,Patisserie,
كوكيز سادة,0.00,,,باتيسري,Patisserie,
كوكيز لوتوس,0.00,,,باتيسري,Patisserie,
كيكة الجزر,0.00,havuç Cake,Carrot Cake,باتيسري,Patisserie,
كيكة العسل,0.00,BAK Cake,Honey Cake,باتيسري,Patisserie,
كيكة براونيز,0.00,Brownie Cake,Brownie Cake,باتيسري,Patisserie,
كيكة سان سباستيان,0.00,San Sebastian Cake,San Sebastian Cake,باتيسري,Patisserie,
بان كيك اوريو,320.00,Oreo Pancake,Oreo Pancake,بان كيك,Cakes,
بان كيك بستاشيو,350.00,Antep fıstığı Pancake,Pistachio Pancake,بان كيك,Cakes,
بان كيك تيرامسو,320.00,Tiramisu Pancake,Tiramisu Pancake,بان كيك,Cakes,
بان كيك شوكولا,300.00,Chocolate Pancake,Chocolate Pancake,بان كيك,Cakes,
بان كيك فواكه,450.00,Fruit Pancake,Fruit Pancake,بان كيك,Cakes,
بان كيك لوتوس,400.00,Lotus Pancake,Lotus Pancake,بان كيك,Cakes,
ميني بان كيك اوريو,350.00,Mini Oreo Pancake,Mini Oreo Pancake,بان كيك,Cakes,
ميني بان كيك بستاشيو,320.00,Mini Pistachio Pancake,Mini Pistachio Pancake,بان كيك,Cakes,
ميني بان كيك شوكولا,300.00,Mini Chocolate Pancake,Mini Chocolate Pancake,بان كيك,Cakes,
ميني بان كيك فواكه,450.00,Mini eyveli  Pancake,Mini Fruit Pancake,بان كيك,Cakes,
ميني بان كيك لوتوس,360.00,Mini Lotus Pancake,Mini Lotus Pancake,بان كيك,Cakes,
ميني بان كيك ميكس بيري,350.00,Mixed Berry Pancake,Mixed Berry Pancake,بان كيك,Cakes,
بينا كولادا وسط,0.00,Pina colada,Pina colada,سموزيات,Smoothies,
سموزي اناناس برتقال وسط,240.00,Pineapple orange smoothie orta,Pineapple orange smoothie medium,سموزيات,Smoothies,
سموزي اناناس وسط,200.00,Pineapple smoothie orta,Pineapple smoothie medium,سموزيات,Smoothies,
سموزي باشن برتقال وسط,240.00,Passion orange smoothie orta,Passion orange smoothie medium,سموزيات,Smoothies,
سموزي باشن مانجو وسط,250.00,Passion mango smoothie orta,Passion mango smoothie medium,سموزيات,Smoothies,
سموزي برتقال دراق وسط,240.00,Şeftali portakal smoothie orta,Peach orange smoothie medium,سموزيات,Smoothies,
سموزي دراق باشن وسط,240.00,Passion peach smoothie orta,Passion peach smoothie medium,سموزيات,Smoothies,
سموزي دراق وسط,240.00,Şeftali smoothie orta,Peach smoothie medium,سموزيات,Smoothies,
سموزي فريز وسط,170.00,Strawberry smoothie orta,Strawberry smoothie medium,سموزيات,Smoothies,
سموزي كاريبيان وسط,240.00,Caribbean smoothie orta,Caribbean smoothie medium,سموزيات,Smoothies,
سموزي ليمون بالنعناع وسط,170.00,Minted lemonade orta,Minted lemonade medium,سموزيات,Smoothies,
