Name_Ar,Price,Name_tr,Name_En,Category Name,Image
كول لايم مانجو ميكس,160.00,Cool lime mango mix,Cool lime mango mix,Signature,
كول لايم مانجو ميكس كبير,200.00,Cool lime mango mix büyük,Cool lime mango mix large,Signature,
كول لايم مانجو ميكس وسط,180.00,Cool lime mango mix orta,Cool lime mango mix Medium,Signature,
كول لايم وسط,180.00,Cool lime orta,Cool lime Medium,Signature,
هيبسكوس,160.00,Hibiscus,Hibiscus,Signature,
هيبسكوس ابل بابلز,180.00,Hibiscus elma bubbles,Hibiscus apple bubbles,Signature,
هيبسكوس ابل بابلز كبير,220.00,Hibiscus elma bubbles büyük,Hibiscus apple bubbles large,Signature,
هيبسكوس ابل بابلز وسط,200.00,Hibiscus elma bubbles orta,Hibiscus apple bubbles Medium,Signature,
هيبسكوس بلو بيري بابلز,180.00,Hibiscus blueberry bubbles,Hibiscus blueberry bubbles,Signature,
هيبسكوس بلو بيري ميكس,160.00,Hibiscus blueberry mix,Hibiscus blueberry mix,Signature,
هيبسكوس بلو بيري ميكس كبير,200.00,Hibiscus blueberry mix büyük,Hibiscus blueberry mix large,Signature,
هيبسكوس بلو بيري ميكس وسط,180.00,Hibiscus blueberry mix orta,Hibiscus blueberry mix Medium,Signature,
هيبسكوس بلوبيري بابلز كبير,220.00,Hibiscus blueberry bubbles büyük,Hibiscus blueberry bubbles large,Signature,
هيبسكوس بلوبيري بابلز وسط,200.00,Hibiscus blueberry bubbles orta,Hibiscus blueberry bubbles Medium,Signature,
هيبسكوس سترو بيري بابلز,180.00,Hibiscus ÇİLEK bubbles,Hibiscus strawberry bubbles,Signature,
هيبسكوس سترو بيري ميكس,160.00,HibiscusÇİLEK Mix,Hibiscus strawberry Mix,Signature,
هيبسكوس سترو بيري ميكس كبير,200.00,Hibiscus ÇİLEK mix büyük,Hibiscus strawberry mix large,Signature,
هيبسكوس سترو بيري ميكس وسط,180.00,Hibiscus ÇİLEKmix orta,Hibiscus strawberry mix Medium,Signature,
هيبسكوس ستروبيري بابلز كبير,220.00,Hibiscus ÇİLEK bubbles büyük,Hibiscus strawberry bubbles large,Signature,
هيبسكوس ستروبيري بابلز وسط,200.00,Hibiscus ÇİLEK bubbles orta,Hibiscus strawberry bubbles Medium,Signature,
هيبسكوس كبير,200.00,Hibiscus büyük,Hibiscus large,Signature,
هيبسكوس وسط,180.00,Hibiscus orta,Hibiscus Medium,Signature,
بينا كولادا وسط,0.00,Pina colada,Pina colada,Smoothies,
سموزي اناناس برتقال وسط,240.00,Pineapple orange smoothie orta,Pineapple orange smoothie medium,Smoothies,
سموزي اناناس وسط,200.00,Ananas smoothie orta,Pineapple smoothie medium,Smoothies,
سموزي باشن برتقال وسط,240.00,Passion orange smoothie orta,Passion orange smoothie medium,Smoothies,
سموزي باشن مانجو وسط,250.00,Passion mango smoothie orta,Passion mango smoothie medium,Smoothies,
سموزي برتقال دراق وسط,240.00,Şeftali portakal smoothie orta,Peach orange smoothie medium,Smoothies,
سموزي دراق باشن وسط,240.00,Passion peach smoothie orta,Passion peach smoothie medium,Smoothies,
سموزي دراق وسط,240.00,Şeftali smoothie orta,Peach smoothie medium,Smoothies,
سموزي فريز وسط,170.00,Çilekli smoothie orta,Strawberry smoothie medium,Smoothies,
سموزي كاريبيان وسط,240.00,Karibbean smoothie orta,Caribbean smoothie medium,Smoothies,
سموزي ليمون بالنعناع وسط,170.00,Naneli limonata orta,Minted lemonade medium,Smoothies,
سموزي ليمون مع رمان وسط,250.00,pembe lemonata orta,Pink lemonade medium,Smoothies,
سموزي ليموناضة بالفريز وسط,180.00,Çilekli lemonata smoothie orta,Strawberry lemonade smoothie medium,Smoothies,
سموزي مانجو فريز وسط,240.00,Çilekli mango smoothie orta,Strawberry mango smoothie medium,Smoothies,
سموزي مانجو وسط,240.00,Mango smoothie orta,Mango smoothie medium,Smoothies,
سموزي ميكس بيريز وسط,240.00,Mix berries smoothie orta,Mix berries smoothie medium,Smoothies,
كريب اوريو,350.00,Oreo krep,Oreo Crepe,Sweets,
